iteration,turnNumber,player,colour1,colour2,colour3,colour4,colour5,colour6,colour7

1,1,Agent0000,0,0,0,0,0,0,0
1,1,Agent0001,0,0,0,0,0,3,0
1,1,Agent0002,0,0,0,0,0,0,0
1,1,Agent0003,0,0,0,0,0,0,0
1,1,Agent0004,0,0,0,0,0,0,0
1,2,Agent0000,0,0,0,0,0,0,0
1,2,Agent0001,0,0,0,0,0,3,3
1,2,Agent0002,0,0,0,0,0,0,2
1,2,Agent0003,0,0,0,0,0,0,0
1,2,Agent0004,0,0,0,0,0,0,0
1,3,Agent0000,0,0,0,0,0,0,0
1,3,Agent0001,0,0,0,0,0,3,3
1,3,Agent0002,0,0,0,0,0,0,2
1,3,Agent0003,0,0,0,0,0,0,0
1,3,Agent0004,0,0,0,0,0,0,0
1,4,Agent0000,0,0,0,0,0,3,1
1,4,Agent0001,0,0,0,0,0,3,3
1,4,Agent0002,0,0,0,0,0,0,1
1,4,Agent0003,0,0,0,0,0,0,0
1,4,Agent0004,0,0,0,0,0,0,0
1,5,Agent0000,0,0,0,0,0,3,1
1,5,Agent0001,0,0,0,0,0,3,3
1,5,Agent0002,0,0,0,0,0,0,0
1,5,Agent0003,0,0,0,0,0,0,0
1,5,Agent0004,0,0,0,0,0,0,0
1,6,Agent0000,0,0,0,0,0,3,1
1,6,Agent0001,0,0,0,0,0,3,3
1,6,Agent0002,0,0,0,0,0,0,0
1,6,Agent0003,0,0,0,0,0,0,0
1,6,Agent0004,0,0,0,0,0,0,2
1,7,Agent0000,0,0,0,0,0,3,1
1,7,Agent0001,0,0,0,0,0,5,3
1,7,Agent0002,0,0,0,0,0,0,0
1,7,Agent0003,0,0,0,0,0,0,0
1,7,Agent0004,0,0,0,0,0,1,2
1,8,Agent0000,0,0,0,0,0,3,1
1,8,Agent0001,0,0,0,0,0,5,2
1,8,Agent0002,0,0,0,0,0,0,0
1,8,Agent0003,0,0,0,0,0,0,3
1,8,Agent0004,0,0,0,0,0,1,1
1,9,Agent0000,0,0,0,0,0,3,1
1,9,Agent0001,0,0,0,0,0,5,2
1,9,Agent0002,0,0,0,0,0,0,0
1,9,Agent0003,0,0,0,0,0,0,3
1,9,Agent0004,0,0,0,0,0,1,1
1,10,Agent0000,0,0,0,0,0,2,1
1,10,Agent0001,0,0,0,0,0,5,3
1,10,Agent0002,0,0,0,0,0,0,0
1,10,Agent0003,0,0,0,0,0,0,6
1,10,Agent0004,0,0,0,0,0,1,0
1,11,Agent0000,0,0,0,0,0,2,1
1,11,Agent0001,0,0,0,0,0,5,3
1,11,Agent0002,0,0,0,0,0,0,0
1,11,Agent0003,0,0,0,0,0,0,6
1,11,Agent0004,0,0,0,0,0,3,0
1,12,Agent0000,0,0,0,0,0,1,1
1,12,Agent0001,0,0,0,0,0,5,2
1,12,Agent0002,0,0,0,0,0,0,0
1,12,Agent0003,0,0,0,0,0,0,5
1,12,Agent0004,0,0,0,0,0,3,0
1,13,Agent0000,0,0,0,0,0,1,1
1,13,Agent0001,0,0,0,0,0,5,1
1,13,Agent0002,0,0,0,0,0,0,2
1,13,Agent0003,0,0,0,0,0,0,7
1,13,Agent0004,0,0,0,0,0,2,0
1,14,Agent0000,0,0,0,0,0,1,1
1,14,Agent0001,0,0,0,0,0,5,1
1,14,Agent0002,0,0,0,0,0,0,2
1,14,Agent0003,0,0,0,0,0,0,7
1,14,Agent0004,0,0,0,0,0,2,0
1,15,Agent0000,0,0,0,0,0,0,1
1,15,Agent0001,0,0,0,0,0,5,2
1,15,Agent0002,0,0,0,0,0,3,2
1,15,Agent0003,0,0,0,0,0,0,7
1,15,Agent0004,0,0,0,0,0,1,0
