example1_0,10,2988
example1_1,10,2890
example1_3,10,1115
example1_4,10,1298
example1_5,10,1167
example1_6,10,1194
example1_7,10,1205
example1_8,10,1255
example1_9,10,1245
example1_11,10,1696
example1_12,10,1761
example1_16,10,2070
example1_28,10,1679
example1_29,10,1764
example1_30,10,1734
example1_31,10,1626
example1_32,100,11202
example1_35,100,11642
example1_36,10,1690
example1_37,10,1693
example1_38,10,3153
example1_51,10,1751
example1_52,10,2183
example1_54,10,2101
example1_55,40,5619
example1_56,40,6794
example1_57,40,9376
example1_58,40,5377
example1_59,40,4861
example1_60,40,5260
example1_61,40,5390
example1_62,40,5728
example1_64,22,3401
example1_65,40,6099
example1_66,31,39075
example1_67,7,2477
example1_68,40,5564
example1_70,40,5487
example1_71,40,5629
example1_72,40,5921
example1_63,24,1782991
example1_73,35,4843
example1_74,37,5133
example1_75,40,5195
example1_76,40,6320
example1_77,40,6518
example1_78,40,6235
example1_79,40,6142
example1_80,40,6474
example1_81,10,45952
example1_82,40,6653
example1_83,4,2081
example1_84,40,6433
example1_85,15,6873
example1_86,40,5945
example1_87,1000,126057
example1_89,171,80171
example1_90,150,16615
example1_93,27,12526
example1_94,40,6686
example1_95,40,6273
example1_97,40,6242
example1_100,588,244582
example1_111,67,13099
example1_112,91,15628
example1_119,24,13562
example1_123,23,9774
example1_125,40,7581
example1_126,40,7848
example1_127,40,9291
example1_128,40,9133
example1_129,40,9865
example1_130,40,12979
example1_131,8,66814
example1_132,40,5447
example1_133,40,9486
example1_137,8,17612
example1_138,40,31135
example1_139,40,10910
example1_140,40,9906
example1_141,40,8338
example1_142,40,8472
example1_143,40,9388
example1_144,12,3351
example1_145,40,10158
example1_146,40,9126
example1_147,16,4228
example1_148,5,1884
example1_149,3,1365
example1_150,4,1576
example1_151,2,1361
example1_152,40,8084
example1_153,40,9808
example1_154,24,6795
example1_155,40,9756
example1_157,40,8643
example1_158,3,1368
example1_159,11,3224
example1_160,4,1649
example1_161,10,3130
example1_162,2,1445
example1_163,7,24950
example1_164,40,8402
example1_165,40,8955
example1_166,40,8700
example1_167,40,10160
example1_168,40,8608
example1_169,40,8882
example1_170,40,11326
example1_171,40,8225
example1_172,40,9195
example1_173,40,8033
example1_174,977,146228
example1_175,288,45368
example1_181,40,10082
example1_182,40,10437
example1_183,2,2990
example1_184,40,12252
example1_185,40,13502
example1_187,40,17844
example1_188,39,14326
example1_186,40,20279
example1_190,40,27358
example1_189,11,712442
example1_192,40,11087
example1_193,40,10436
example1_194,40,9852
example1_195,3,1906
example1_196,4,2399
example1_197,2,2603
example1_198,20,8935
example1_199,40,10790
example1_200,40,10603
example1_201,40,15086
example1_203,4,7680
example1_204,7,4426
example1_205,40,11010
example1_206,6,4520
example1_207,21,6458
example1_208,40,11390
example1_209,40,12841
example1_210,34,9613
example1_211,5,3901
example1_212,40,10707
example1_213,5,2447
example1_214,4,1577
example1_215,7,3476
example1_216,40,16945
example1_217,35,9625
example1_218,4,9129
example1_219,40,13078
example1_220,40,13445
example1_221,38,16129
example1_222,40,10139
example1_223,40,6940
example1_224,9,3661
example1_225,40,10171
example1_226,40,10580
example1_227,5,2244
example1_228,21,7975
example1_229,16,6020
example1_230,21,7512
example1_231,25,7387
example1_232,15,5574
example1_233,9,3655
example1_234,40,10245
example1_235,40,10093
example1_236,40,10030
example1_237,6,2801
example1_238,40,11246
example1_239,40,10644
example1_240,40,9807
example1_241,40,8868
example1_243,40,10851
example1_245,40,14797
example1_244,40,17110
example1_246,40,9220
example1_247,40,10348
example1_248,9,1585600
example1_249,16,5696
example1_250,40,9695
example1_251,40,9996
example1_252,40,10259
example1_253,40,9333
example1_254,40,9078
example1_256,193,132024
example1_257,9,2750
example1_258,9,1977
example1_259,7,1805
example1_260,9,1975
example1_261,9,2852
example1_262,9,2312
example1_263,9,2192
example1_264,9,2360
example1_265,9,2628
example1_266,9,355922
example1_267,9,2742
example1_268,9,3036
example1_269,9,2393
example1_270,9,2267
example1_279,9,2253
example1_280,9,1952
example1_281,21,3628
example1_282,21,3684
example1_283,21,3446
example1_284,21,3744
example1_285,21,3574
example1_286,21,4327
example1_287,21,3584
example1_288,21,3751
example1_289,21,3841
example1_290,10,2089
example1_291,13,2358
example1_292,21,3671
example1_293,5,57070
example1_294,8,23954
example1_295,5,28671
example1_297,21,3815
example1_298,21,4066
example1_299,21,4626
example1_301,21,3685
example1_302,21,3647
example1_304,40,6751
example1_305,40,7915
example1_306,40,7921
example1_307,40,8674
example1_308,510,86218
example1_309,33,6037
example1_310,44,8201
example1_311,15,2928
example1_312,13,2808
example1_313,44,7045
example1_314,9,1989
example1_315,42,7271
example1_316,35,6082
example1_317,32,5277
example1_318,7,1341
example1_319,7,1512
example1_320,7,1519
example1_321,5,13692
example1_324,7,1483
example1_325,7,1469
example1_326,7,1451
example1_327,7,1563
example1_328,7,1595
example1_329,7,1851
example1_330,7,1795
example1_331,7,1592
example1_332,7,1624
example1_333,7,2156
example1_334,7,1669
example1_335,7,1648
example1_336,7,1664
example1_337,7,1581
example1_338,7,1660
example1_339,7,1892
example1_340,7,1716
example1_341,7,1710
example1_342,7,1436
example1_343,7,1620
example1_344,7,1422
example1_345,7,1616
example1_346,7,1422
example1_347,7,1603
example1_348,7,1836
example1_349,7,1455
example1_350,7,1626
example1_351,7,1562
example1_352,7,1615
example1_353,7,1407
example1_358,40,9945
example1_359,40,9798
example1_360,40,11025
example1_361,40,8904
example1_362,40,9041
example1_363,40,6882
example1_364,40,9922
example1_365,40,10234
example1_366,40,9496
example1_367,40,9533
example1_368,40,10590
example1_369,40,9597
example1_371,40,9296
example1_372,40,10522
example1_373,40,6865
example1_374,40,6849
example1_375,40,6583
example1_376,40,6286
example1_382,40,6291
example1_386,9,2024
example1_387,9,10790
example1_388,40,7391
example1_389,40,5961
example1_390,40,6167
example1_392,18,16183
example1_393,180,24586
example1_394,180,24430
example1_395,180,26649
example1_396,180,24489
example1_397,8,2469662
example1_398,180,52850
example1_401,180,24532
example1_402,126,17781
example1_403,45,6682
example1_404,143,25752
example1_405,57,8732
example1_406,59,9151
example1_407,101,13955
example1_408,26,4201
example1_409,137,22191
example1_410,10,2019
example1_411,12,2186
example1_412,180,67769
example1_416,180,38806
example1_417,40,6654
example1_418,40,6843
example1_419,40,6367
example1_420,40,6257
example1_421,40,6877
example1_422,40,6887
example1_424,4,1579
example1_423,40,8898
example1_425,40,6186
example1_426,40,7522
example1_427,40,7391
example1_428,40,7149
example1_429,40,8576
example1_430,18,4463
example1_431,40,7779
example1_432,27,6264
example1_433,40,11201
example1_434,40,8960
example1_435,40,8414
example1_436,5,1801
example1_437,40,8811
example1_438,40,8257
example1_443,40,7778
example1_445,40,8109
example1_447,40,9170
example1_448,40,6746
example1_449,40,6884
example1_450,40,6833
example1_451,40,10281
example1_452,40,9096
example1_453,30,5377
example1_454,24,4932
example1_461,25,4616
example1_462,40,7195
example1_463,40,6778
example1_464,40,7417
example1_465,40,6645
example1_466,40,6977
example1_467,40,8333
example1_468,11,2073
example1_469,40,6209
example1_470,15,2826
example1_471,40,6124
example1_472,40,6050
example1_473,40,6717
example1_474,40,6368
example1_475,40,6385
example1_476,40,6383
example1_478,40,6634
example1_479,18,3460
example1_480,40,6702
example1_481,40,5989
example1_482,40,6588
example1_483,40,17930
example1_484,40,13014
example1_485,40,15839
example1_486,40,10584
example1_488,40,10725
example1_490,40,47272
example1_491,1,23093
example1_494,40,7351
example1_495,40,7981
example1_496,40,9426
example1_497,33,28297
example1_498,40,6565
example1_499,40,6330
example1_500,40,5085
example1_501,40,4850
example1_504,40,63408
example1_505,1,60205
example1_506,40,49053
example1_507,40,6324
example1_508,40,5278
example1_509,19,2341
example1_510,40,5372
example1_511,21,2539
example1_512,40,5061
example1_513,40,4724
example1_514,11,1439
example1_515,40,4936
example1_516,40,5288
example1_517,40,5405
example1_518,40,24196
example1_519,40,29524
example1_520,40,6175
example1_521,40,8024
example1_522,40,8500
example1_523,1,16366
example1_525,40,15622
example1_526,40,6879
example1_527,40,6912
example1_529,16,3650
example1_530,40,9328
example1_531,6,11011
example1_532,15,11605
example1_533,4,6040
example1_534,25,4058
example1_535,40,8690
example1_536,40,6222
example1_538,1,1959
example1_537,4,82210
example1_539,40,6137
example1_540,4,15355
example1_541,4,4323
example1_543,1,82520
example1_544,3,2436
example1_545,40,7094
example1_546,6,2297
example1_547,29,11780
example1_549,1,2189
example1_548,4,245433
example1_550,29,23243
example1_551,40,5649
example1_552,4,16411
example1_553,5,20727
example1_554,40,7805
example1_555,40,6123
example1_556,40,6487
example1_557,40,15050
example1_558,40,7468
example1_559,6,6286
example1_560,29,5455
example1_561,1,6167
example1_562,1,2763
example1_563,1,75175
example1_564,1,12981
example1_565,1,3363
example1_566,1,9963
example1_567,1,2159
example1_568,3,2816
example1_569,10,3212
example1_570,1,4364
example1_571,3,5688
example1_572,11,9675
example1_573,1,9231
example1_574,40,20632
example1_576,3,2546
example1_577,3,3908
